TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,480.0,101.8,103.6,105.8,107.0,-4.0,-3.4,0.498,0.96,13.5,0.323,0.681,0.512,0.187,0.485,0.541,87.1,85.9,71.58,859,0.48,6,7,12,8,6,10,9,9,14,15,14,7,7,4,15,7,7,14,8,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,144.0,106.2,107.1,118.6,117.7,-12.4,-10.6,0.505,1.38,14.9,0.355,0.748,0.523,0.149,0.492,0.535,89.0,89.0,74.17,268,0.42,13,13,1,13,13,5,14,13,11,9,10,2,1,2,7,5,8,7,14,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,912.0,105.2,106.0,98.4,100.1,6.8,5.9,0.596,1.67,16.6,0.358,0.693,0.517,0.142,0.47,0.512,88.2,87.13,72.61,1659,0.56,2,1,9,1,2,7,3,1,9,3,8,1,3,3,4,14,15,13,1,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,240.0,101.3,101.9,102.7,104.3,-1.4,-2.4,0.42,1.42,12.6,0.237,0.683,0.447,0.114,0.471,0.513,84.9,84.0,70.0,420,0.451,9,9,1,8,10,13,4,8,16,7,15,16,6,15,2,13,13,16,10,1996-97
1610612745,Houston Rockets,16,9,7,0.563,773.0,109.5,111.6,108.3,109.6,1.2,2.1,0.655,1.52,18.0,0.348,0.667,0.511,0.167,0.516,0.566,91.6,90.19,75.16,1452,0.511,4,3,14,4,4,1,10,5,2,6,2,3,9,5,11,1,1,3,6,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,144.0,103.4,104.9,118.6,118.9,-15.2,-13.9,0.5,1.36,14.0,0.268,0.635,0.432,0.136,0.476,0.527,88.9,88.17,73.47,264,0.362,13,13,1,13,13,9,15,16,12,10,13,14,14,16,3,12,11,8,16,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,437.0,106.2,106.7,103.8,106.4,2.4,0.3,0.638,1.54,16.8,0.317,0.672,0.496,0.149,0.481,0.544,89.1,87.82,73.18,803,0.512,8,7,11,7,8,6,7,6,4,5,7,8,8,8,8,9,6,9,5,1996-97
1610612748,Miami Heat,17,8,9,0.471,816.0,96.6,98.1,97.1,97.9,-0.6,0.2,0.582,1.06,14.5,0.316,0.693,0.504,0.185,0.467,0.512,88.6,87.56,72.97,1489,0.481,3,4,16,6,3,16,1,7,10,14,11,10,4,6,14,15,14,12,7,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,144.0,108.4,111.2,118.7,122.9,-10.2,-11.7,0.6,2.57,18.6,0.316,0.636,0.461,0.104,0.487,0.516,92.7,90.0,75.0,269,0.425,13,13,1,13,13,2,16,14,8,1,1,9,13,13,1,6,12,5,13,1996-97
1610612752,New York Knicks,10,6,4,0.6,480.0,102.2,102.2,98.5,100.0,3.7,2.2,0.615,1.34,17.5,0.269,0.684,0.49,0.176,0.504,0.548,90.1,89.35,74.46,892,0.543,6,5,9,3,6,12,2,4,6,11,4,13,5,9,12,3,4,6,2,1996-97
