TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,480.0,0.485,0.369,0.187,0.323,0.484,0.251,0.127,0.319,6,7,12,8,6,7,8,15,7,7,2,16,7,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,144.0,0.492,0.257,0.149,0.355,0.629,0.235,0.165,0.252,13,13,1,13,13,5,15,7,2,16,1,6,1,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,912.0,0.47,0.289,0.142,0.358,0.469,0.389,0.186,0.307,2,1,9,1,2,14,13,4,1,3,12,2,3,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,240.0,0.471,0.265,0.114,0.237,0.496,0.338,0.19,0.317,9,9,1,8,10,13,14,2,16,11,8,1,6,1996-97
1610612745,Houston Rockets,16,9,7,0.563,773.0,0.516,0.369,0.167,0.348,0.483,0.314,0.136,0.333,4,3,14,4,4,1,7,11,3,6,5,15,9,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,144.0,0.476,0.382,0.136,0.268,0.552,0.502,0.155,0.365,13,13,1,13,13,12,4,3,14,14,15,10,14,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,437.0,0.481,0.485,0.149,0.317,0.468,0.445,0.166,0.328,8,7,11,7,8,9,1,8,8,2,14,5,8,1996-97
1610612748,Miami Heat,17,8,9,0.471,816.0,0.467,0.371,0.185,0.316,0.442,0.331,0.163,0.307,3,4,16,6,3,15,6,14,10,1,7,7,4,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,144.0,0.487,0.203,0.104,0.316,0.574,0.39,0.159,0.364,13,13,1,13,13,6,16,1,9,15,13,9,13,1996-97
1610612752,New York Knicks,10,6,4,0.6,480.0,0.504,0.302,0.176,0.269,0.474,0.37,0.173,0.316,6,5,9,3,6,3,12,12,13,4,10,4,5,1996-97
