TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,48.0,12.3,13.4,7.8,32.4,19.5,14.6,11.1,34.6,6,7,12,8,6,16,9,14,15,16,12,10,2,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,48.0,18.3,14.0,6.7,41.3,15.7,11.7,10.7,44.7,13,13,1,13,13,4,7,16,4,9,4,9,15,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,48.0,18.4,16.4,10.1,36.9,12.8,11.6,7.6,31.5,2,1,9,1,2,3,3,8,10,2,3,1,1,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,48.0,19.2,9.8,8.8,31.6,11.8,12.6,8.8,35.2,9,9,1,8,10,1,15,13,16,1,7,2,4,1996-97
1610612745,Houston Rockets,16,9,7,0.563,48.3,14.1,14.4,11.4,39.9,18.1,14.4,11.8,40.8,4,3,14,4,4,13,5,5,7,13,11,11,12,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,48.0,18.0,14.0,10.0,38.0,15.0,10.3,15.0,43.3,13,13,1,13,13,5,7,9,8,7,1,15,13,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,48.6,15.7,11.2,10.7,43.8,14.1,13.4,12.3,34.7,8,7,11,7,8,11,12,6,2,3,10,13,3,1996-97
1610612748,Miami Heat,17,8,9,0.471,48.0,13.3,12.5,12.4,32.8,17.7,12.4,9.5,36.6,3,4,16,6,3,15,10,4,14,12,6,3,6,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,48.0,18.0,19.0,9.7,45.3,14.7,11.7,14.7,40.7,13,13,1,13,13,5,1,11,1,5,4,14,11,1996-97
1610612752,New York Knicks,10,6,4,0.6,48.0,16.2,10.9,10.3,37.8,15.1,13.1,10.5,36.0,6,5,9,3,6,10,14,7,9,8,9,8,5,1996-97
1610612753,Orlando Magic,5,2,3,0.4,48.0,16.8,8.8,9.4,36.8,14.2,15.8,15.2,36.8,9,9,1,8,10,9,16,12,11,4,14,16,7,1996-97
1610612756,Phoenix Suns,5,2,3,0.4,49.0,17.4,11.4,13.2,33.2,18.6,16.8,10.0,43.6,9,9,1,8,9,8,11,1,13,14,15,5,14,1996-97
1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,13.8,16.5,12.5,40.0,16.0,13.0,10.3,47.0,12,12,1,12,12,14,2,3,6,10,8,7,16,1996-97
1610612760,Seattle SuperSonics,12,6,6,0.5,48.8,18.9,15.4,13.1,43.3,16.1,15.0,12.1,37.7,5,5,12,5,5,2,4,2,3,11,13,12,8,1996-97
1610612762,Utah Jazz,20,13,7,0.65,48.3,14.3,11.1,10.0,34.3,14.9,11.6,9.7,37.7,1,2,14,2,1,12,13,10,12,6,2,4,9,1996-97
1610612764,Washington Bullets,3,0,3,0.0,48.0,17.7,14.3,7.0,40.7,19.0,18.0,10.0,38.7,13,13,1,13,13,7,6,15,5,15,16,5,10,1996-97
1610612737,Atlanta Hawks,4,1,3,0.25,48.0,15.5,11.8,10.5,30.5,14.5,9.8,10.0,37.5,12,12,1,12,12,8,10,7,16,4,2,5,9,1997-98
1610612766,Charlotte Hornets,9,4,5,0.444,48.0,13.1,9.3,10.2,33.1,15.8,12.2,11.3,33.6,7,5,9,5,8,13,15,9,11,7,8,8,3,1997-98
1610612741,Chicago Bulls,21,15,6,0.714,48.5,17.5,15.5,9.3,36.5,12.8,11.4,9.2,35.0,1,1,11,1,1,1,5,12,7,2,7,4,6,1997-98
1610612739,Cleveland Cavaliers,4,1,3,0.25,48.0,12.8,9.8,8.5,33.5,21.3,10.3,10.5,34.5,12,12,1,12,12,14,14,14,10,16,3,6,5,1997-98
1610612745,Houston Rockets,5,2,3,0.4,48.0,12.0,12.6,9.6,32.4,16.4,10.8,12.4,37.6,9,9,1,7,9,15,8,11,12,8,5,12,10,1997-98
1610612754,Indiana Pacers,16,10,6,0.625,48.3,17.0,10.9,8.2,31.3,15.5,14.3,10.8,35.3,3,3,11,3,3,3,11,15,14,5,12,7,7,1997-98
