TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,48.0,35.3,80.0,0.441,6.8,20.3,0.335,14.5,20.1,0.721,12.9,25.8,38.7,19.0,10.9,7.4,3.5,4.3,22.1,20.0,91.9,2.9,6,7,12,8,6,10,12,8,10,11,6,2,2,5,12,2,4,5,16,9,2,10,6,15,5,9,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,48.0,42.0,73.7,0.57,8.7,19.0,0.456,11.7,17.3,0.673,8.0,27.7,35.7,26.7,14.7,7.0,3.3,3.0,22.0,21.0,104.3,8.7,13,13,1,13,6,16,5,16,12,8,16,1,1,1,1,5,1,15,5,6,1,15,5,13,13,13,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,48.0,30.0,70.9,0.423,6.6,18.5,0.356,20.4,27.6,0.74,10.8,27.8,38.7,16.4,16.2,5.6,4.2,4.8,23.5,24.3,87.0,-5.5,2,1,9,1,6,1,4,2,8,7,9,8,9,6,5,7,3,1,2,2,5,7,10,6,2,1,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,48.0,31.4,69.2,0.454,5.8,22.0,0.264,19.0,23.4,0.812,10.2,31.6,41.8,16.6,16.0,4.4,4.6,2.4,18.8,20.2,87.6,2.0,9,9,1,8,6,4,1,10,7,12,1,4,4,14,2,12,10,2,3,1,9,16,1,14,3,8,1996-97
1610612745,Houston Rockets,16,9,7,0.563,48.3,36.5,81.5,0.448,5.8,16.0,0.359,20.8,25.6,0.812,13.3,27.1,40.3,22.4,12.4,8.8,4.2,4.4,23.6,21.9,99.5,-1.8,4,3,14,4,4,11,14,9,6,5,10,9,7,13,13,3,9,11,15,14,6,8,11,12,10,4,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,48.0,36.7,70.3,0.521,4.3,11.7,0.371,27.3,35.3,0.774,11.0,32.7,43.7,23.0,13.7,8.3,5.3,4.3,25.7,29.0,105.0,12.7,13,13,1,13,6,12,3,15,2,1,11,15,15,12,6,15,13,12,11,12,13,9,14,1,14,16,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,48.6,32.1,73.7,0.436,4.7,15.7,0.298,25.2,32.8,0.769,12.1,27.7,39.8,21.3,14.7,6.0,5.3,6.1,27.7,26.8,94.1,-1.1,8,7,11,7,3,5,5,6,3,4,3,14,14,10,9,5,8,8,5,3,13,2,16,3,8,6,1996-97
1610612748,Miami Heat,17,8,9,0.471,48.0,30.9,75.2,0.41,4.7,15.6,0.301,19.2,24.9,0.773,12.2,29.8,41.9,17.1,14.2,8.9,4.4,5.1,22.5,22.6,85.7,-0.2,3,4,16,6,6,2,9,1,4,3,4,5,6,11,10,11,11,4,8,15,8,5,8,10,1,7,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,48.0,38.3,77.0,0.498,11.7,27.0,0.432,22.7,30.0,0.756,11.0,33.3,44.3,29.0,14.3,6.3,4.0,4.0,20.0,23.3,111.0,11.3,13,13,1,13,6,13,10,14,16,15,15,12,13,8,6,16,14,16,7,4,3,13,2,9,15,14,1996-97
1610612752,New York Knicks,10,6,4,0.6,48.0,31.3,74.0,0.423,7.6,20.2,0.376,19.3,27.4,0.704,10.7,28.5,39.2,16.8,15.5,7.7,4.9,3.5,21.8,23.4,89.5,-1.7,6,5,9,3,6,3,7,3,11,10,13,6,8,3,4,9,5,3,4,11,11,14,4,8,4,5,1996-97
