TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,48.0,0.691,0.309,0.539,0.175,0.233,0.088,0.228,0.138,0.364,0.463,0.538,0.623,0.377,0.498,0.502,6,7,12,8,6,13,4,13,9,5,14,4,16,14,12,5,15,2,14,3,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,48.0,0.788,0.212,0.627,0.195,0.199,0.07,0.174,0.192,0.432,0.433,0.567,0.842,0.158,0.505,0.495,13,13,1,13,6,6,11,4,7,7,16,15,5,5,13,4,5,12,11,6,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,48.0,0.761,0.239,0.618,0.218,0.198,0.109,0.184,0.199,0.399,0.556,0.444,0.784,0.216,0.596,0.404,2,1,9,1,6,9,8,7,4,8,9,13,3,10,9,8,10,7,9,8,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,48.0,0.773,0.227,0.626,0.257,0.196,0.103,0.178,0.224,0.369,0.343,0.657,0.786,0.214,0.42,0.58,9,9,1,8,6,7,10,5,1,9,12,14,1,13,16,1,9,8,16,1,1996-97
1610612745,Houston Rockets,16,9,7,0.563,48.3,0.682,0.318,0.522,0.128,0.263,0.112,0.215,0.139,0.394,0.565,0.435,0.923,0.077,0.655,0.345,4,3,14,4,4,14,3,14,14,3,6,10,15,11,7,10,1,16,2,15,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,48.0,0.76,0.24,0.578,0.166,0.195,0.108,0.227,0.195,0.412,0.425,0.575,0.833,0.167,0.5,0.5,13,13,1,13,6,10,7,9,10,10,10,5,4,9,14,3,6,11,12,4,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,48.6,0.789,0.211,0.574,0.114,0.154,0.112,0.272,0.165,0.46,0.606,0.394,0.818,0.182,0.638,0.362,8,7,11,7,3,5,12,10,15,14,7,1,11,1,3,14,7,10,4,13,1996-97
1610612748,Miami Heat,17,8,9,0.471,48.0,0.67,0.33,0.493,0.111,0.292,0.144,0.216,0.155,0.382,0.503,0.497,0.782,0.218,0.582,0.418,3,4,16,6,6,15,2,15,16,2,1,9,12,12,10,7,11,6,10,7,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,48.0,0.812,0.188,0.676,0.221,0.191,0.097,0.134,0.181,0.455,0.614,0.386,0.526,0.474,0.6,0.4,13,13,1,13,6,3,14,1,3,11,13,16,7,2,2,15,16,1,8,9,1996-97
1610612752,New York Knicks,10,6,4,0.6,48.0,0.799,0.201,0.632,0.217,0.181,0.113,0.188,0.178,0.414,0.569,0.431,0.855,0.145,0.615,0.385,6,5,9,3,6,4,13,2,5,12,5,12,9,7,6,11,4,13,6,11,1996-97
1610612753,Orlando Magic,5,2,3,0.4,48.0,0.753,0.247,0.57,0.133,0.207,0.112,0.223,0.2,0.437,0.383,0.617,0.69,0.31,0.443,0.557,9,9,1,8,6,11,6,11,12,6,8,6,2,4,15,2,14,3,15,2,1996-97
1610612756,Phoenix Suns,5,2,3,0.4,49.0,0.649,0.351,0.483,0.152,0.305,0.132,0.212,0.174,0.331,0.579,0.421,0.863,0.137,0.663,0.337,9,9,1,8,1,16,1,16,11,1,3,11,10,16,5,12,3,14,1,16,1996-97
1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,0.767,0.233,0.63,0.184,0.15,0.139,0.22,0.153,0.446,0.584,0.416,0.722,0.278,0.603,0.397,12,12,1,12,6,8,9,3,8,15,2,8,13,3,4,13,12,5,7,10,1996-97
1610612760,Seattle SuperSonics,12,6,6,0.5,48.8,0.737,0.263,0.541,0.128,0.238,0.125,0.221,0.18,0.412,0.56,0.44,0.9,0.1,0.637,0.363,5,5,12,5,2,12,5,12,13,4,4,7,8,8,8,9,2,15,5,12,1996-97
1610612762,Utah Jazz,20,13,7,0.65,48.3,0.819,0.181,0.597,0.24,0.155,0.104,0.248,0.149,0.357,0.62,0.38,0.798,0.202,0.646,0.354,1,2,14,2,5,2,15,8,2,13,11,2,14,15,1,16,8,9,3,14,1996-97
1610612764,Washington Bullets,3,0,3,0.0,48.0,0.856,0.144,0.625,0.196,0.137,0.074,0.239,0.186,0.428,0.472,0.528,0.692,0.308,0.5,0.5,13,13,1,13,6,1,16,6,6,16,15,3,6,6,11,6,13,4,12,4,1996-97
1610612737,Atlanta Hawks,4,1,3,0.25,48.0,0.753,0.247,0.594,0.246,0.231,0.12,0.174,0.177,0.349,0.471,0.529,0.704,0.296,0.519,0.481,12,12,1,12,7,14,3,11,5,3,6,14,7,15,14,3,16,1,15,2,1997-98
1610612766,Charlotte Hornets,9,4,5,0.444,48.0,0.848,0.152,0.714,0.314,0.129,0.123,0.157,0.158,0.4,0.605,0.395,0.938,0.063,0.641,0.359,7,5,9,5,7,5,12,2,1,12,4,16,9,7,5,12,6,11,5,12,1997-98
