TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612737,Atlanta Hawks,10,4,6,0.4,48.0,30.9,70.8,0.436,6.9,21.9,0.315,20.3,26.1,0.778,11.0,29.0,40.0,15.4,16.1,4.5,4.3,3.5,20.0,9.9,89.0,-2.9,6,7,12,8,6,14,16,10,5,4,15,8,10,5,11,6,7,14,13,16,10,2,2,12,13,9,1996-97
1610612766,Charlotte Hornets,3,0,3,0.0,48.0,36.3,80.3,0.452,6.3,17.0,0.373,16.7,20.7,0.806,12.7,24.3,37.0,18.3,13.3,6.7,3.0,3.3,21.0,12.0,95.7,-8.7,13,13,1,13,6,3,4,4,6,9,4,14,14,2,4,13,12,10,6,11,15,1,4,6,6,13,1996-97
1610612741,Chicago Bulls,19,15,4,0.789,48.0,34.7,80.2,0.432,6.1,19.2,0.319,17.1,23.2,0.735,14.9,28.6,43.5,20.7,12.4,8.5,4.8,4.2,24.3,6.4,92.5,5.5,2,1,9,1,6,5,5,13,8,6,14,13,12,13,1,8,1,7,5,3,7,5,11,16,9,1,1996-97
1610612765,Detroit Pistons,5,2,3,0.4,48.0,32.4,74.8,0.433,5.6,17.0,0.329,15.2,19.8,0.768,8.6,23.2,31.8,13.6,9.6,7.0,2.4,4.6,20.2,10.8,85.6,-2.0,9,9,1,8,6,12,8,12,11,9,11,15,15,7,16,15,16,15,2,8,16,9,3,8,15,8,1996-97
1610612745,Houston Rockets,16,9,7,0.563,48.3,35.3,77.1,0.458,8.9,24.5,0.362,21.8,28.4,0.767,12.3,29.3,41.5,23.1,15.2,7.7,4.4,4.2,21.9,9.8,101.3,1.8,4,3,14,4,4,4,6,3,2,2,7,5,6,8,5,5,4,3,10,5,8,6,5,13,2,4,1996-97
1610612746,Los Angeles Clippers,3,0,3,0.0,48.0,32.7,75.0,0.436,6.0,18.0,0.333,21.0,28.7,0.733,10.3,23.0,33.3,16.3,12.0,6.7,4.3,5.3,29.0,18.3,92.3,-12.7,13,13,1,13,6,11,7,11,9,7,10,7,4,14,12,16,15,13,3,11,9,13,16,1,10,16,1996-97
1610612747,Los Angeles Lakers,9,4,5,0.444,48.6,32.2,72.1,0.447,4.9,15.2,0.321,25.9,35.0,0.74,11.2,27.7,38.9,20.6,13.3,6.8,6.1,5.3,26.8,10.7,95.2,1.1,8,7,11,7,3,13,14,8,14,13,13,1,1,12,9,10,9,8,6,9,2,13,14,9,7,6,1996-97
1610612748,Miami Heat,17,8,9,0.471,48.0,29.5,72.1,0.409,8.4,23.8,0.351,18.5,26.8,0.692,11.1,30.2,41.3,17.2,16.2,6.7,5.1,4.4,22.6,9.2,85.9,0.2,3,4,16,6,6,16,13,15,3,3,9,11,9,16,10,3,5,11,15,10,5,8,7,14,14,7,1996-97
1610612750,Minnesota Timberwolves,3,0,3,0.0,48.0,40.0,88.7,0.451,6.3,16.7,0.38,13.3,18.0,0.741,14.0,24.7,38.7,24.0,9.3,7.7,4.0,4.0,23.3,14.0,99.7,-11.3,13,13,1,13,6,1,1,6,6,12,3,16,16,11,2,12,10,1,1,6,13,3,8,3,4,14,1996-97
1610612752,New York Knicks,10,6,4,0.6,48.0,34.3,73.5,0.467,5.5,14.8,0.372,17.1,22.2,0.77,9.7,29.8,39.5,21.1,15.7,8.7,3.5,4.9,23.4,11.5,91.2,1.7,6,5,9,3,6,7,10,2,12,14,5,12,13,6,14,4,8,6,12,2,14,11,9,7,11,5,1996-97
